name, frequency, lat, lng
seattle,1299,47.60357,-122.32945
washington,444,38.89037,-77.03196
france,90,46.559417,2.55054
newyork,90,56.25,-5.28333
sanfrancisco,70,-8.98346,-38.21678
rome,50,41.90322,12.49565
vatican,46,41.90225,12.4533
california,44,36.374106,-119.27023
hollywood,40,26.01067,-80.16026
king county,34,47.490118,-121.804332
tacoma,34,47.25513,-122.44164
oregon,32,43.93878,-120.558561
united states,30,39.398703,-99.414619
vietnam,24,16.16667,107.83333
chicago,22,41.88425,-87.63245
losangeles,20,34.05349,-118.24532
america,18,39.398703,-99.414619
newyork city,16,22.64087,75.84844
olympia,14,47.03956,-122.89166
idaho,14,44.388995,-114.659447
london,12,51.50642,-0.12721
lesbian city,12,19.45709,109.45309
newjersey,12,39.613348,-74.728565
pittsburgh,12,40.43851,-79.99734
philadelphia,10,39.95222,-75.16218
russia,10,61.989526,96.805372
cuba,10,22,-79.5
washingtondc,10,38.89037,-77.03196
seattle city,8,47.60357,-122.32945
canada,8,60.10867,-113.64258
vancouver,8,49.26038,-123.11336
lover,8,46.24814,11.02401
rentonhills,8,-30.96667,135.08333
renton,8,47.47532,-122.20487
rentonhill,8,-30.96667,135.08333
sirico,8,-13.34361,39.97639
florida,8,28.566045,-81.688649
miami,8,25.77481,-80.19773
texas,6,31.462733,-99.33305
georgia,6,32.648325,-83.444534
moscow,6,55.75696,37.61502
wilhelmina,6,27.9437,-82.4516
paris,6,48.85717,2.3414
discrimina,6,20.641,-103.30815
montana,6,47.033499,-109.645068
barton,6,42.04152,-76.44619
thou,6,47.42504,2.66105
gay city,6,51.46485,58.44357
ellensburg,6,46.99703,-120.54872
dade county,6,34.854552,-85.504436
dignitys,6,51.50898,-0.59022
portland,6,45.51179,-122.67563
queen city,6,33.14865,-94.15266
alaska,4,64.808088,-151.004158
collinss,4,8.128982,2.208592
kansas,4,38.484727,-98.380171
nevada,4,39.356482,-116.655436
s city,4,24.11688,120.66371
horseshoe,4,29.5194,-83.25347
new city,4,41.14827,-74.00983
stlouis,4,38.62775,-90.19956
stonewall,4,50.13765,-97.32241
womens,4,11.41059,75.9359
commu,4,47.45406,0.32539
lesbian,4,19.45709,109.45309
berlin,4,52.51604,13.37691
houston,4,29.76058,-95.36968
broadway,4,52.0404,-1.85577
missouri,4,38.367983,-92.477747
dallas,4,32.77822,-96.79512
 city county,4,25.07184,121.60658
bingo,4,12.25156,-1.8893
varietyvaudeville,4,30.27333,-98.86977
virginia,4,37.512821,-78.697949
springfield,4,37.20897,-93.29159
iowa,4,42.074698,-93.499972
alan,4,53.66667,106.05
tina,4,45.41667,7.93333
seattleke county,4,47.58707,-122.48829
