id, x, y, freq, label
0, -16.566900, -3.817822, 4022, gay
1, -15.035862, -2.170548, 4288, seattle
2, -11.407702, -14.916072, 52, atkins
3, -35.119267, -30.948442, 50, pm
4, -9.031677, -12.930384, 44, page
5, -4.463523, -10.097180, 170, stories
6, 13.006338, -22.910955, 106, exile
7, -20.626135, -67.512917, 46, belonging
8, -17.798491, -51.459602, 36, gary
9, -27.426655, -52.841305, 26, l
10, -15.175618, -23.626823, 498, university
11, -15.147774, -23.880892, 772, washington
12, -14.291962, -22.216864, 186, press
13, -30.889141, 20.287386, 14, london
14, 42.062809, -38.771618, 6, iii
15, -6.441467, -15.326607, 1218, new
16, -8.283668, -26.236343, 76, introduction
17, -8.366601, -42.734867, 30, author
18, -40.627159, -37.177734, 16, contents
19, 4.704160, -15.462433, 102, list
20, -50.321312, -32.899078, 16, illustrations
21, -64.275986, 3.125650, 12, vii
22, -46.978947, 45.806751, 12, acknowledgments
23, 15.564184, 58.287983, 10, ix
24, 11.367923, -11.684969, 286, part
25, 19.039005, -7.464381, 1606, one
26, 10.757696, -37.781017, 64, imagining
27, -68.648674, -18.952156, 24, prologue
28, -13.061066, -24.854115, 534, law
29, -12.877307, -24.804817, 284, sodomy
30, 11.283672, -6.058154, 172, mudflat
31, -10.152236, -24.108143, 174, mental
32, -9.987977, -23.689066, 338, health
33, -9.426479, -32.091106, 86, psychiatric
34, -25.874958, -67.303856, 36, pick
35, 18.523249, -4.687122, 868, two
36, 14.788427, -12.408932, 104, creating
37, 10.925590, -36.668480, 74, refuges
38, 11.999508, -23.245399, 82, saloons
39, 4.443934, -19.656288, 116, vaudeville
40, -46.167000, 47.497688, 18, stirrings
41, -20.982504, -57.364552, 44, resistance
42, -0.242888, -12.382026, 254, dance
43, -40.945873, 29.983606, 22, enemy
44, -61.960381, -33.220188, 40, crossing
45, -65.900711, -10.624319, 28, challenging
46, -6.838627, -5.204876, 808, police
47, 17.680161, -3.322195, 366, three
48, 20.080128, -13.878819, 284, claiming
49, 20.080395, -13.880909, 318, civic
50, 20.081215, -13.883011, 486, life
51, -2.617807, -7.730964, 178, robert
52, 12.256949, -43.405098, 116, rules
53, -17.497652, -45.487362, 102, liberation
54, -17.850674, -69.505196, 40, chautauquas
55, 12.230866, -43.397221, 60, feminism
56, 12.222890, -43.402588, 62, lesbianism
57, -18.724682, -60.542961, 40, pulpits
58, 1.320291, -37.153496, 58, healing
59, -10.185069, -25.418957, 114, v
60, -12.614394, -15.112391, 956, first
61, -8.369108, -27.016184, 74, paperback
62, -8.231471, -26.394466, 98, edition
63, -38.644444, -32.057121, 32, printed
64, -60.859570, 17.726139, 8, bound
65, -7.011841, -26.787516, 84, united
66, -10.175612, -32.206059, 158, states
67, -19.850189, -61.732609, 28, america
68, -59.515579, -20.657417, 16, designed
69, -15.675086, -12.933637, 508, rights
70, 50.318405, -13.701258, 6, reserved
71, -44.262768, -0.938358, 18, publication
72, -13.698034, -3.507666, 434, may
73, -56.405224, -1.820248, 12, transmitted
74, 5.250372, -36.615631, 64, form
75, -30.606859, -59.084637, 30, means
76, -19.587776, 39.383026, 12, includ
77, 15.339885, -8.494977, 398, ing
78, 6.309573, -12.700788, 160, information
79, 1.345440, -28.549625, 96, system
80, 8.898031, -19.917368, 114, without
81, 1.455555, 59.216995, 14, permission
82, -26.384548, -55.875591, 48, writing
83, -0.055045, -30.485802, 60, box
84, 18.335274, 28.248304, 4, wa
85, 34.946987, 10.088460, 6, usa
86, -9.045932, -42.372997, 0, www
87, -59.042278, -0.388815, 6, edu
88, -47.491985, 19.981466, 14, library
89, -48.472977, -10.897692, 12, congress
90, 33.127579, 37.319935, 6, data
91, -9.657366, -7.570882, 120, pages
92, 35.370647, 45.337051, 12, references
93, 2.043480, -27.357830, 38, index
94, -5.964672, -40.320309, 74, paper
95, -0.771958, -9.820286, 0, gays
96, -14.616982, -24.599476, 812, state
97, 11.153362, -9.839085, 242, social
98, -28.585670, 43.800797, 18, conditions
99, -16.071480, -4.625627, 270, history
100, -13.120537, -14.616039, 104, movement
101, -11.702085, -4.353132, 1000, aids
102, 1.292503, -15.047635, 106, disease
103, -53.317467, 42.087749, 18, title
104, -13.024363, -24.151917, 8, u
105, 7.549066, -7.854470, 228, used
106, 7.961053, -31.154406, 78, free
107, -22.498566, 32.886127, 14, meets
108, 65.786697, 0.471409, 6, minimum
109, 6.416390, -4.255836, 206, american
110, -2.566374, -9.488186, 150, national
111, 1.141600, -15.283945, 84, leg
112, -45.337273, -32.196060, 24, confronting
113, -31.616289, -42.917519, 32, crackdown
114, -48.677540, -5.054138, 30, insiders
115, -0.487210, -10.231819, 1196, city
116, -1.595364, -13.069224, 130, hall
117, 1.761817, -21.195545, 100, rhetoric
118, 6.781903, -42.288681, 70, privacy
119, -5.190651, -19.900410, 258, capitol
120, -31.207443, -50.109653, 34, limited
121, 12.269737, -43.386715, 80, conversation
122, 0.553969, -9.995873, 280, initiative
123, 0.705600, -10.072951, 172, thirteen
