name, frequency, lat, lng
seattle, 4998, 47.603570, -122.329450
washington, 1056, 38.890370, -77.031960
newyork, 354, 56.250000, -5.283330
alaska, 174, 64.808088, -151.004158
boston, 138, 42.358660, -71.056740
california, 126, 36.374106, -119.270230
chicago, 120, 41.884250, -87.632450
vancouver, 114, 49.260380, -123.113360
lakewashington, 108, 38.411160, -82.004430
oregon, 90, 43.938780, -120.558561
britishcolumbia, 84, 54.561861, -125.104095
united states, 78, 39.398703, -99.414619
seattle city, 78, 47.603570, -122.329450
knox county, 66, 35.995607, -83.934652
america, 60, 39.398703, -99.414619
sanfrancisco, 60, -8.983460, -38.216780
berkeley, 60, 37.869880, -122.270540
lakeunion, 54, 45.253120, -94.260530
london, 48, 51.506420, -0.127210
illinois, 48, 40.114047, -89.158651
portland, 42, 45.511790, -122.675630
newyork city, 36, 22.640870, 75.848440
losangeles, 36, 34.053490, -118.245320
ballastisland, 36, 41.679220, -82.783240
seattlevillage, 36, -31.896030, 26.866310
licton, 36, 36.305340, -86.803550
puyallup, 30, 47.190440, -122.295640
seattleillahee, 30, 47.612690, -122.596960
westseattle, 30, 47.571230, -122.385140
emblem, 24, 51.163610, 4.602520
lake, 24, 7.617678, 80.698632
canada, 24, 60.108670, -113.642580
vancouverisland, 24, 54.853330, -131.353330
mexico, 24, 23.952825, -102.548353
bagley, 24, 47.524410, -95.398530
philadelphia, 24, 39.952220, -75.162180
neworleans, 18, 29.953700, -90.077750
lexington, 18, 38.048590, -84.500320
beaton, 18, 12.033330, -61.700000
fort, 18, 49.532746, 8.356242
indiana, 18, 39.919807, -86.281793
new city, 18, 41.148270, -74.009830
sanfranciscos, 18, -8.983460, -38.216780
detroit, 18, 42.331680, -83.048000
westpoint, 18, 33.606510, -88.650440
oklahoma, 18, 35.582684, -97.508599
sacramento, 18, 38.579440, -121.490850
politan, 12, 30.383330, 117.616670
commu, 12, 47.454060, 0.325390
tory, 12, 51.787870, 103.012500
northamer, 12, -31.656110, 116.668780
tideflat, 12, 69.201040, -78.431470
stlouis, 12, 38.627750, -90.199560
phelps, 12, 42.958470, -77.060340
bancroft, 12, 45.056590, -77.853340
vietnam, 12, 16.166670, 107.833330
northern city, 12, 26.223130, 50.454180
metropolis city, 12, 37.151790, -88.731200
curiosity, 12, 39.705070, 19.842840
labrador, 12, 16.005260, 120.157710
westmark, 12, 40.597790, -99.530110
rolland, 12, 47.821850, 1.785460
king county, 12, 47.490118, -121.804332
melville, 12, 40.793100, -73.416200
